
---------- Begin Simulation Statistics ----------
simSeconds                                   2.372079                       # Number of seconds simulated (Second)
simTicks                                 2372079306500                       # Number of ticks simulated (Tick)
finalTick                                2372079306500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5984.71                       # Real time elapsed on the host (Second)
hostTickRate                                396356715                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1231868                       # Number of bytes of host memory used (Byte)
simInsts                                   3441222909                       # Number of instructions simulated (Count)
simOps                                     3441223203                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   575003                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     575003                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4744158740                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.378626                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.725360                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3442812730                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  8433858                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3445795657                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 714646                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10023384                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7482609                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1521                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4743191563                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.426427                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.600207                       # Number of insts issued each cycle (Count)
system.cpu.branchPred.targetWrong_0::Return        14782     35.21%     99.53% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::CallDirect           26      0.06%     99.59% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::CallIndirect          171      0.41%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::DirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::DirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::IndirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::IndirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::total        41984                       # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.condPredicted         141429829                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condPredictedTaken     81726769                       # Number of conditional branches predicted as taken (Count)
system.cpu.branchPred.condIncorrect            142290                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.predTakenBTBMiss           5078                       # Number of branches predicted taken but missed in BTB (Count)
system.cpu.branchPred.BTBLookups            204900849                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                26885                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits               153969946                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.751436                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.BTBMispredicted            5743                       # Number BTB mispredictions. No target found or target wrong (Count)
system.cpu.branchPred.indirectLookups          211244                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits             209234                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             2010                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu.branchPred.btb.lookups::NoBranch            0      0.00%      0.00% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::Return     18319796      8.94%      8.94% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallDirect     18247472      8.91%     17.85% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallIndirect         1744      0.00%     17.85% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectCond    141429829     69.02%     86.87% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectUncond     26692508     13.03%     99.90% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectCond            0      0.00%     99.90% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectUncond       209500      0.10%    100.00% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::total    204900849                       # Number of BTB lookups (Count)
system.cpu.branchPred.btb.misses::NoBranch            0      0.00%      0.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::Return     18319796     35.97%     35.97% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallDirect         2196      0.00%     35.97% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallIndirect         1744      0.00%     35.98% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectCond     32395419     63.61%     99.58% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectUncond         2248      0.00%     99.59% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectCond            0      0.00%     99.59% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectUncond       209500      0.41%    100.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::total      50930903                       # Number of BTB misses (Count)
system.cpu.branchPred.btb.updates::NoBranch            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::Return            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallDirect         1375      5.11%      5.11% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallIndirect            0      0.00%      5.11% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectCond        24165     89.88%     95.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectUncond         1345      5.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectCond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectUncond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::total        26885                       # Number of BTB updates (Count)
system.cpu.branchPred.btb.mispredict::NoBranch            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::Return            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallDirect         1375      5.11%      5.11% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallIndirect            0      0.00%      5.11% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::DirectCond        24165     89.88%     95.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::DirectUncond         1345      5.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::IndirectCond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::IndirectUncond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::total        26885                       # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.power_state.pwrStateResidencyTicks::UNDEFINED 2372079306500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.branchPred.indirectBranchPred.lookups       211244                       # Number of lookups (Count)
system.cpu.branchPred.indirectBranchPred.hits       209234                       # Number of hits of a tag (Count)
system.cpu.branchPred.indirectBranchPred.misses         2010                       # Number of misses (Count)
system.cpu.branchPred.indirectBranchPred.targetRecords       100597                       # Number of targets that where recorded/installed in the cache (Count)
system.cpu.branchPred.indirectBranchPred.indirectRecords       311841                       # Number of indirect branches/calls recorded in the indirect hist (Count)
system.cpu.branchPred.indirectBranchPred.speculativeOverflows           23                       # Number of times more than the allowed capacity for speculative branches/calls where in flight and destroy the path history (Count)
system.cpu.branchPred.ras.pushes             18574689                       # Number of times a PC was pushed onto the RAS (Count)
system.cpu.branchPred.ras.pops               18574684                       # Number of times a PC was poped from the RAS (Count)
system.cpu.branchPred.ras.squashes             580361                       # Number of times the stack operation was squashed due to wrong speculation. (Count)
system.cpu.branchPred.ras.used               17994322                       # Number of times the RAS is the provider (Count)
system.cpu.branchPred.ras.correct            17994322                       # Number of times the RAS is the provider and the prediction is correct (Count)
system.cpu.branchPred.ras.incorrect                 0                       # Number of times the RAS is the provider and the prediction is wrong (Count)
system.cpu.commit.commitSquashedInsts        10026993                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls         8432337                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts            139570                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples   4741869528                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.725710                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     1.905866                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0      3765285024     79.41%     79.41% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1       335951907      7.08%     86.49% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2       225560210      4.76%     91.25% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3        51546179      1.09%     92.33% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4        46920617      0.99%     93.32% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5        40232276      0.85%     94.17% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6        39784239      0.84%     95.01% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7        20749551      0.44%     95.45% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8       215839525      4.55%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total   4741869528                       # Number of insts commited each cycle (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                         111                       # Number of memory barriers committed (Count)
system.cpu.commit.functionCalls              17994327                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass      8431840      0.25%      0.25% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu   1427878453     41.49%     41.74% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult     56352293      1.64%     43.38% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv       155641      0.00%     43.38% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd    119585846      3.48%     46.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp      8840946      0.26%     47.11% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt    163056972      4.74%     51.85% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult    110863712      3.22%     55.07% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc     99040691      2.88%     57.95% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv     17275983      0.50%     58.45% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc     30331458      0.88%     59.33% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt      4215762      0.12%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd          117      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp          116      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc          515      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMatMultAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMatMultAcc            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::Matrix            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MatrixMov            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MatrixOP            0      0.00%     59.46% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemRead    774819683     22.52%     81.97% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemWrite    114801816      3.34%     85.31% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemRead    403371652     11.72%     97.03% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemWrite     98774421      2.87%     99.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IprAccess            0      0.00%     99.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::InstPrefetch            0      0.00%     99.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideLoad       101901      0.00%     99.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideStore      3220733      0.09%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStridedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideFaultOnlyFirstLoad          116      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStrideSegmentedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStrideSegmentedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdExt            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatExt            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdConfig       102536      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::total   3441223203                       # Class of committed instruction (Count)
system.cpu.commit.commitEligibleSamples     215839525                       # number cycles where commit BW limit reached (Cycle)
system.cpu.commitStats0.numInsts           3441222909                       # Number of instructions committed (thread level) (Count)
system.cpu.commitStats0.numOps             3441223203                       # Number of ops (including micro ops) committed (thread level) (Count)
system.cpu.commitStats0.numInstsNotNOP     3441222909                       # Number of instructions committed excluding NOPs or prefetches (Count)
system.cpu.commitStats0.numOpsNotNOP       3441223203                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.commitStats0.cpi                  1.378626                       # CPI: cycles per instruction (thread level) ((Cycle/Count))
system.cpu.commitStats0.ipc                  0.725360                       # IPC: instructions per cycle (thread level) ((Count/Cycle))
system.cpu.commitStats0.numMemRefs         1395090322                       # Number of memory references committed (Count)
system.cpu.commitStats0.numFpInsts         1055357443                       # Number of float instructions (Count)
system.cpu.commitStats0.numIntInsts        2995702858                       # Number of integer instructions (Count)
system.cpu.commitStats0.numLoadInsts       1178293292                       # Number of load instructions (Count)
system.cpu.commitStats0.numStoreInsts       216796970                       # Number of store instructions (Count)
system.cpu.commitStats0.numVecInsts           3426034                       # Number of vector instructions (Count)
system.cpu.commitStats0.committedInstType::No_OpClass      8431840      0.25%      0.25% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntAlu   1427878453     41.49%     41.74% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntMult     56352293      1.64%     43.38% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntDiv       155641      0.00%     43.38% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatAdd    119585846      3.48%     46.86% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatCmp      8840946      0.26%     47.11% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatCvt    163056972      4.74%     51.85% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMult    110863712      3.22%     55.07% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMultAcc     99040691      2.88%     57.95% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatDiv     17275983      0.50%     58.45% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMisc     30331458      0.88%     59.33% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatSqrt      4215762      0.12%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAdd          117      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAddAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAlu            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCmp          116      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCvt            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMisc          515      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMult            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMultAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMatMultAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShift            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShiftAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdDiv            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSqrt            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatAdd            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatAlu            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCmp            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCvt            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatDiv            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMisc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMult            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMultAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMatMultAcc            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatSqrt            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAdd            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAlu            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceCmp            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceAdd            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceCmp            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAes            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAesMix            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash2            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash2            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma2            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma3            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdPredAlu            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::Matrix            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixMov            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixOP            0      0.00%     59.46% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemRead    774819683     22.52%     81.97% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemWrite    114801816      3.34%     85.31% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemRead    403371652     11.72%     97.03% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemWrite     98774421      2.87%     99.90% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IprAccess            0      0.00%     99.90% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::InstPrefetch            0      0.00%     99.90% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideLoad       101901      0.00%     99.90% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideStore      3220733      0.09%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdWholeRegisterStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideFaultOnlyFirstLoad          116      0.00%    100.00% # Class of committed instruction. (Count)
