
---------- Begin Simulation Statistics ----------
simSeconds                                   1.344674                       # Number of seconds simulated (Second)
simTicks                                 1344673655000                       # Number of ticks simulated (Tick)
finalTick                                1344673655000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4287.26                       # Real time elapsed on the host (Second)
hostTickRate                                313643903                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1231868                       # Number of bytes of host memory used (Byte)
simInsts                                   3441221646                       # Number of instructions simulated (Count)
simOps                                     3441221940                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   802662                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     802662                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2689347336                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.781509                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.279575                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3441758820                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  8433662                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3443846293                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1664123                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8970541                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7988857                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1327                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2688249463                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.281074                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.110579                       # Number of insts issued each cycle (Count)
system.cpu.dcache.ReadReq.mshrMissLatency::total 268799605500                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissRate::cpu.data     0.005389                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.mshrMissRate::total     0.005389                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMshrMissLatency::cpu.data 59606.072799                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMshrMissLatency::total 59606.072799                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.StoreCondReq.hits::cpu.data           11                       # number of StoreCondReq hits (Count)
system.cpu.dcache.StoreCondReq.hits::total           11                       # number of StoreCondReq hits (Count)
system.cpu.dcache.StoreCondReq.accesses::cpu.data           11                       # number of StoreCondReq accesses(hits+misses) (Count)
system.cpu.dcache.StoreCondReq.accesses::total           11                       # number of StoreCondReq accesses(hits+misses) (Count)
system.cpu.dcache.SwapReq.hits::cpu.data           58                       # number of SwapReq hits (Count)
system.cpu.dcache.SwapReq.hits::total              58                       # number of SwapReq hits (Count)
system.cpu.dcache.SwapReq.misses::cpu.data            2                       # number of SwapReq misses (Count)
system.cpu.dcache.SwapReq.misses::total             2                       # number of SwapReq misses (Count)
system.cpu.dcache.SwapReq.missLatency::cpu.data       116500                       # number of SwapReq miss ticks (Tick)
system.cpu.dcache.SwapReq.missLatency::total       116500                       # number of SwapReq miss ticks (Tick)
system.cpu.dcache.SwapReq.accesses::cpu.data           60                       # number of SwapReq accesses(hits+misses) (Count)
system.cpu.dcache.SwapReq.accesses::total           60                       # number of SwapReq accesses(hits+misses) (Count)
system.cpu.dcache.SwapReq.missRate::cpu.data     0.033333                       # miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.missRate::total     0.033333                       # miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.avgMissLatency::cpu.data        58250                       # average SwapReq miss latency ((Tick/Count))
system.cpu.dcache.SwapReq.avgMissLatency::total        58250                       # average SwapReq miss latency ((Tick/Count))
system.cpu.dcache.SwapReq.mshrMisses::cpu.data            2                       # number of SwapReq MSHR misses (Count)
system.cpu.dcache.SwapReq.mshrMisses::total            2                       # number of SwapReq MSHR misses (Count)
system.cpu.dcache.SwapReq.mshrMissLatency::cpu.data       114500                       # number of SwapReq MSHR miss ticks (Tick)
system.cpu.dcache.SwapReq.mshrMissLatency::total       114500                       # number of SwapReq MSHR miss ticks (Tick)
system.cpu.dcache.SwapReq.mshrMissRate::cpu.data     0.033333                       # mshr miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.mshrMissRate::total     0.033333                       # mshr miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.avgMshrMissLatency::cpu.data        57250                       # average SwapReq mshr miss latency ((Tick/Count))
system.cpu.dcache.SwapReq.avgMshrMissLatency::total        57250                       # average SwapReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.hits::cpu.data    212325792                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.hits::total      212325792                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.misses::cpu.data      4471495                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.misses::total      4471495                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.missLatency::cpu.data 261066435270                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.missLatency::total 261066435270                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.accesses::cpu.data    216797287                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.accesses::total    216797287                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.missRate::cpu.data     0.020625                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.missRate::total     0.020625                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMissLatency::cpu.data 58384.597382                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMissLatency::total 58384.597382                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.mshrHits::cpu.data      3068789                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrHits::total      3068789                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrMisses::cpu.data      1402706                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMisses::total      1402706                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMissLatency::cpu.data  93208762441                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissLatency::total  93208762441                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissRate::cpu.data     0.006470                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.mshrMissRate::total     0.006470                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMshrMissLatency::cpu.data 66449.250549                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMshrMissLatency::total 66449.250549                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.power_state.pwrStateResidencyTicks::UNDEFINED 1344673655000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.dcache.tags.tagsInUse          1023.960355                       # Average ticks per tags in use ((Tick/Count))
system.cpu.dcache.tags.totalRefs           1048499246                       # Total number of references to valid blocks. (Count)
system.cpu.dcache.tags.sampledRefs            5912311                       # Sample count of references to valid blocks. (Count)
system.cpu.dcache.tags.avgRefs             177.341694                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.dcache.tags.warmupTick              198000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.dcache.tags.occupancies::cpu.data  1023.960355                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.dcache.tags.avgOccs::cpu.data     0.999961                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.avgOccs::total        0.999961                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.occupanciesTaskId::1024         1024                       # Occupied blocks per task id (Count)
system.cpu.dcache.tags.ageTaskId_1024::0          117                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::1          897                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::3            9                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::4            1                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.dcache.tags.tagAccesses         2113145333                       # Number of tag accesses (Count)
system.cpu.dcache.tags.dataAccesses        2113145333                       # Number of data accesses (Count)
system.cpu.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 1344673655000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.decode.idleCycles                121208806                       # Number of cycles decode is idle (Cycle)
system.cpu.decode.blockedCycles            2127436316                       # Number of cycles decode is blocked (Cycle)
system.cpu.decode.runCycles                 131568243                       # Number of cycles decode is running (Cycle)
system.cpu.decode.unblockCycles             307880889                       # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.squashCycles                 155209                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved            126211146                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                  2753                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts             3451556606                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts                 10080                       # Number of squashed instructions handled by decode (Count)
system.cpu.dtb_walker_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu.dtb_walker_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.dtb_walker_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu.dtb_walker_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.dtb_walker_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dtb_walker_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dtb_walker_cache.replacements            0                       # number of replacements (Count)
system.cpu.dtb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED 1344673655000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.dtb_walker_cache.tags.tagsInUse            0                       # Average ticks per tags in use ((Tick/Count))
system.cpu.dtb_walker_cache.tags.totalRefs            0                       # Total number of references to valid blocks. (Count)
system.cpu.dtb_walker_cache.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
system.cpu.dtb_walker_cache.tags.avgRefs          nan                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.dtb_walker_cache.tags.warmupTick            0                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.dtb_walker_cache.tags.tagAccesses            0                       # Number of tag accesses (Count)
system.cpu.dtb_walker_cache.tags.dataAccesses            0                       # Number of data accesses (Count)
system.cpu.dtb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 1344673655000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.executeStats0.numInsts          3443624388                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                     0                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches        202293674                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts      1179882297                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts      217034473                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            1.280468                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numFpRegReads     1051459500                       # Number of times the floating registers were read (Count)
system.cpu.executeStats0.numFpRegWrites     904812519                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntRegReads    3336843244                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites   2133021729                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs        1396916770                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads   2537768567                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites   1514215638                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numVecRegReads       3329141                       # Number of times the vector registers were read (Count)
system.cpu.executeStats0.numVecRegWrites       201352                       # Number of times the vector registers were written (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.predictedBranches          144997795                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                    2382869798                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                  315794                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                    5                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.icacheWaitRetryStallCycles           63                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu.fetch.cacheLines                 304603449                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                 37354                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples         2688249463                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              1.285453                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             2.621392                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0               2034484897     75.68%     75.68% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                 83445737      3.10%     78.78% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                 62569419      2.33%     81.11% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                 53925152      2.01%     83.12% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                 71139174      2.65%     85.76% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                 48904275      1.82%     87.58% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                 42000368      1.56%     89.15% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                 30065442      1.12%     90.26% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                261714999      9.74%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total           2688249463                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts            3455617483                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             1.284928                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches          204548161                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.076059                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles    305221700                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.icache.demandHits::cpu.inst      304584850                       # number of demand (read+write) hits (Count)
system.cpu.icache.demandHits::total         304584850                       # number of demand (read+write) hits (Count)
system.cpu.icache.overallHits::cpu.inst     304584850                       # number of overall hits (Count)
system.cpu.icache.overallHits::total        304584850                       # number of overall hits (Count)
system.cpu.icache.demandMisses::cpu.inst        18599                       # number of demand (read+write) misses (Count)
system.cpu.icache.demandMisses::total           18599                       # number of demand (read+write) misses (Count)
system.cpu.icache.overallMisses::cpu.inst        18599                       # number of overall misses (Count)
system.cpu.icache.overallMisses::total          18599                       # number of overall misses (Count)
system.cpu.icache.demandMissLatency::cpu.inst   1164106500                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.demandMissLatency::total   1164106500                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.overallMissLatency::cpu.inst   1164106500                       # number of overall miss ticks (Tick)
system.cpu.icache.overallMissLatency::total   1164106500                       # number of overall miss ticks (Tick)
system.cpu.icache.demandAccesses::cpu.inst    304603449                       # number of demand (read+write) accesses (Count)
system.cpu.icache.demandAccesses::total     304603449                       # number of demand (read+write) accesses (Count)
system.cpu.icache.overallAccesses::cpu.inst    304603449                       # number of overall (read+write) accesses (Count)
system.cpu.icache.overallAccesses::total    304603449                       # number of overall (read+write) accesses (Count)
system.cpu.icache.demandMissRate::cpu.inst     0.000061                       # miss rate for demand accesses (Ratio)
system.cpu.icache.demandMissRate::total      0.000061                       # miss rate for demand accesses (Ratio)
system.cpu.icache.overallMissRate::cpu.inst     0.000061                       # miss rate for overall accesses (Ratio)
system.cpu.icache.overallMissRate::total     0.000061                       # miss rate for overall accesses (Ratio)
system.cpu.icache.demandAvgMissLatency::cpu.inst 62589.736007                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.demandAvgMissLatency::total 62589.736007                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 62589.736007                       # average overall miss latency ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::total 62589.736007                       # average overall miss latency ((Tick/Count))
system.cpu.icache.blockedCycles::no_mshrs         1422                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs           20                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs      71.100000                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.writebacks::writebacks        13735                       # number of writebacks (Count)
system.cpu.icache.writebacks::total             13735                       # number of writebacks (Count)
system.cpu.icache.demandMshrHits::cpu.inst         4353                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total          4353                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst         4353                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total         4353                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst        14246                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total        14246                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst        14246                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total        14246                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst    938438000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total    938438000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst    938438000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total    938438000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.000047                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.000047                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.000047                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.000047                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 65873.789134                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 65873.789134                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 65873.789134                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 65873.789134                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.replacements                  13735                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst    304584850                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total       304584850                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst        18599                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.misses::total         18599                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst   1164106500                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.missLatency::total   1164106500                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.accesses::cpu.inst    304603449                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.accesses::total    304603449                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.missRate::cpu.inst     0.000061                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.missRate::total     0.000061                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMissLatency::cpu.inst 62589.736007                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMissLatency::total 62589.736007                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.mshrHits::cpu.inst         4353                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrHits::total         4353                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrMisses::cpu.inst        14246                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMisses::total        14246                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMissLatency::cpu.inst    938438000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissLatency::total    938438000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissRate::cpu.inst     0.000047                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.mshrMissRate::total     0.000047                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMshrMissLatency::cpu.inst 65873.789134                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMshrMissLatency::total 65873.789134                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED 1344673655000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.icache.tags.tagsInUse           509.828417                       # Average ticks per tags in use ((Tick/Count))
system.cpu.icache.tags.totalRefs            304599096                       # Total number of references to valid blocks. (Count)
system.cpu.icache.tags.sampledRefs              14246                       # Sample count of references to valid blocks. (Count)
system.cpu.icache.tags.avgRefs           21381.376948                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.icache.tags.warmupTick               77000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.icache.tags.occupancies::cpu.inst   509.828417                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.icache.tags.avgOccs::cpu.inst     0.995759                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.avgOccs::total        0.995759                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.occupanciesTaskId::1024          511                       # Occupied blocks per task id (Count)
system.cpu.icache.tags.ageTaskId_1024::0           70                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::3          154                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::4          287                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ratioOccsTaskId::1024     0.998047                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.icache.tags.tagAccesses          609221144                       # Number of tag accesses (Count)
system.cpu.icache.tags.dataAccesses         609221144                       # Number of data accesses (Count)
system.cpu.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 1344673655000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.iew.idleCycles                           0                       # Number of cycles IEW is idle (Cycle)
system.cpu.iew.squashCycles                    155209                       # Number of cycles IEW is squashing (Cycle)
system.cpu.iew.blockCycles                   21263617                       # Number of cycles IEW is blocking (Cycle)
system.cpu.iew.unblockCycles                 77130220                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.iew.dispatchedInsts             3450192482                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts                 1758                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts               1181549760                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts               217733883                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts               8433238                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                   4387595                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                 67432236                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents          17764                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect         114783                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect        22972                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts               137755                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit               3443586680                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount              3443464598                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                2926109738                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                3269052099                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        1.280409                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.895094                       # Average fanout of values written-back ((Count/Count))
system.cpu.iew.totalIssueCycles            4099916760                       # Total issue latency in cycles (ready to issue) (Cycle)
system.cpu.iew.numIssuedInsts              2046712221                       # Number of instructions issued (Count)
system.cpu.iew.avgIssueCycles                2.003172                       # Average issue latency in cycles (ready to issue) ((Cycle/Count))
system.cpu.itb_walker_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu.itb_walker_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.itb_walker_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu.itb_walker_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.itb_walker_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.itb_walker_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.itb_walker_cache.replacements            0                       # number of replacements (Count)
system.cpu.itb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED 1344673655000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.itb_walker_cache.tags.tagsInUse            0                       # Average ticks per tags in use ((Tick/Count))
system.cpu.itb_walker_cache.tags.totalRefs            0                       # Total number of references to valid blocks. (Count)
system.cpu.itb_walker_cache.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
